2020-06-02 09:40:07 startup archives unpack
2020-06-02 09:40:18 upgrade ca-certificates:all 20180409 20190110~18.04.1
2020-06-02 09:40:18 status half-configured ca-certificates:all 20180409
2020-06-02 09:40:18 status unpacked ca-certificates:all 20180409
2020-06-02 09:40:19 status half-installed ca-certificates:all 20180409
2020-06-02 09:40:19 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2020-06-02 09:40:19 status half-installed ca-certificates:all 20180409
2020-06-02 09:40:20 status unpacked ca-certificates:all 20190110~18.04.1
2020-06-02 09:40:20 status unpacked ca-certificates:all 20190110~18.04.1
2020-06-02 09:40:20 startup packages configure
2020-06-02 09:40:20 configure ca-certificates:all 20190110~18.04.1 <none>
2020-06-02 09:40:20 status unpacked ca-certificates:all 20190110~18.04.1
2020-06-02 09:40:20 status half-configured ca-certificates:all 20190110~18.04.1
2020-06-02 09:40:27 status installed ca-certificates:all 20190110~18.04.1
2020-06-02 09:40:28 status triggers-pending ca-certificates:all 20190110~18.04.1
2020-06-02 09:40:28 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2020-06-02 09:40:28 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2020-06-02 09:40:29 status installed man-db:amd64 2.8.3-2ubuntu0.1
2020-06-02 09:40:29 trigproc ca-certificates:all 20190110~18.04.1 <none>
2020-06-02 09:40:29 status half-configured ca-certificates:all 20190110~18.04.1
2020-06-02 09:40:29 status installed ca-certificates:all 20190110~18.04.1
2020-06-02 09:40:32 startup archives unpack
2020-06-02 09:40:32 upgrade libwinpr2-2:amd64 2.0.0~git20170725.1.1648deb+dfsg1-7ubuntu0.1 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:32 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2020-06-02 09:40:32 status half-configured libwinpr2-2:amd64 2.0.0~git20170725.1.1648deb+dfsg1-7ubuntu0.1
2020-06-02 09:40:32 status unpacked libwinpr2-2:amd64 2.0.0~git20170725.1.1648deb+dfsg1-7ubuntu0.1
2020-06-02 09:40:33 status half-installed libwinpr2-2:amd64 2.0.0~git20170725.1.1648deb+dfsg1-7ubuntu0.1
2020-06-02 09:40:33 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2020-06-02 09:40:33 status half-installed libwinpr2-2:amd64 2.0.0~git20170725.1.1648deb+dfsg1-7ubuntu0.1
2020-06-02 09:40:33 status unpacked libwinpr2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:33 status unpacked libwinpr2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:34 startup packages configure
2020-06-02 09:40:34 configure libwinpr2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1 <none>
2020-06-02 09:40:34 status unpacked libwinpr2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:34 status half-configured libwinpr2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:34 status installed libwinpr2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:34 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2020-06-02 09:40:34 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2020-06-02 09:40:36 status installed man-db:amd64 2.8.3-2ubuntu0.1
2020-06-02 09:40:36 trigproc libc-bin:amd64 2.27-3ubuntu1 <none>
2020-06-02 09:40:36 status half-configured libc-bin:amd64 2.27-3ubuntu1
2020-06-02 09:40:36 status installed libc-bin:amd64 2.27-3ubuntu1
2020-06-02 09:40:38 startup archives unpack
2020-06-02 09:40:39 upgrade libfreerdp2-2:amd64 2.0.0~git20170725.1.1648deb+dfsg1-7ubuntu0.1 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:39 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2020-06-02 09:40:39 status half-configured libfreerdp2-2:amd64 2.0.0~git20170725.1.1648deb+dfsg1-7ubuntu0.1
2020-06-02 09:40:39 status unpacked libfreerdp2-2:amd64 2.0.0~git20170725.1.1648deb+dfsg1-7ubuntu0.1
2020-06-02 09:40:40 status half-installed libfreerdp2-2:amd64 2.0.0~git20170725.1.1648deb+dfsg1-7ubuntu0.1
2020-06-02 09:40:40 status half-installed libfreerdp2-2:amd64 2.0.0~git20170725.1.1648deb+dfsg1-7ubuntu0.1
2020-06-02 09:40:41 status unpacked libfreerdp2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:41 status unpacked libfreerdp2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:41 startup packages configure
2020-06-02 09:40:41 configure libfreerdp2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1 <none>
2020-06-02 09:40:41 status unpacked libfreerdp2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:41 status half-configured libfreerdp2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:41 status installed libfreerdp2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:41 trigproc libc-bin:amd64 2.27-3ubuntu1 <none>
2020-06-02 09:40:41 status half-configured libc-bin:amd64 2.27-3ubuntu1
2020-06-02 09:40:42 status installed libc-bin:amd64 2.27-3ubuntu1
2020-06-02 09:40:44 startup archives unpack
2020-06-02 09:40:44 upgrade libfreerdp-client2-2:amd64 2.0.0~git20170725.1.1648deb+dfsg1-7ubuntu0.1 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:44 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2020-06-02 09:40:44 status half-configured libfreerdp-client2-2:amd64 2.0.0~git20170725.1.1648deb+dfsg1-7ubuntu0.1
2020-06-02 09:40:45 status unpacked libfreerdp-client2-2:amd64 2.0.0~git20170725.1.1648deb+dfsg1-7ubuntu0.1
2020-06-02 09:40:45 status half-installed libfreerdp-client2-2:amd64 2.0.0~git20170725.1.1648deb+dfsg1-7ubuntu0.1
2020-06-02 09:40:45 status half-installed libfreerdp-client2-2:amd64 2.0.0~git20170725.1.1648deb+dfsg1-7ubuntu0.1
2020-06-02 09:40:45 status unpacked libfreerdp-client2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:45 status unpacked libfreerdp-client2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:45 startup packages configure
2020-06-02 09:40:45 configure libfreerdp-client2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1 <none>
2020-06-02 09:40:45 status unpacked libfreerdp-client2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:46 status half-configured libfreerdp-client2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:46 status installed libfreerdp-client2-2:amd64 2.1.1+dfsg1-0ubuntu0.18.04.1
2020-06-02 09:40:46 trigproc libc-bin:amd64 2.27-3ubuntu1 <none>
2020-06-02 09:40:46 status half-configured libc-bin:amd64 2.27-3ubuntu1
2020-06-02 09:40:46 status installed libc-bin:amd64 2.27-3ubuntu1
2020-06-02 09:40:48 startup archives unpack
2020-06-02 09:40:48 upgrade remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:48 status half-configured remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1
2020-06-02 09:40:48 status unpacked remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1
2020-06-02 09:40:48 status half-installed remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1
2020-06-02 09:40:49 status half-installed remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1
2020-06-02 09:40:49 status unpacked remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:49 status unpacked remmina-plugin-vnc:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:49 upgrade remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:49 status half-configured remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1
2020-06-02 09:40:49 status unpacked remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1
2020-06-02 09:40:49 status half-installed remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1
2020-06-02 09:40:49 status half-installed remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1
2020-06-02 09:40:49 status unpacked remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:49 status unpacked remmina-plugin-secret:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:50 upgrade remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:50 status half-configured remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1
2020-06-02 09:40:50 status unpacked remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1
2020-06-02 09:40:50 status half-installed remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1
2020-06-02 09:40:50 status half-installed remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1
2020-06-02 09:40:50 status unpacked remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:50 status unpacked remmina-plugin-rdp:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:50 upgrade remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:50 status half-configured remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1
2020-06-02 09:40:50 status unpacked remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1
2020-06-02 09:40:51 status half-installed remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1
2020-06-02 09:40:51 status triggers-pending gnome-menus:amd64 3.13.3-11ubuntu1.1
2020-06-02 09:40:51 status triggers-pending desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2020-06-02 09:40:52 status triggers-pending mime-support:all 3.60ubuntu1
2020-06-02 09:40:52 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2020-06-02 09:40:53 status triggers-pending shared-mime-info:amd64 1.9-2
2020-06-02 09:40:54 status half-installed remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1
2020-06-02 09:40:55 status unpacked remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
2020-06-02 09:40:56 status unpacked remmina:amd64 1.2.0-rcgit.29+dfsg-1ubuntu1.1
